Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-1	Transcription Units	Regulated-By	GO terms (biological process)
rpmH	EQU24_RS22155	4998575	4998709	50S ribosomal protein L34	rpmH // rnpA // yidD // yidC // mnmE	EQU24_RS22155	rpmH // rnpA // yidD // yidC // mnmE		
rnpA	EQU24_RS22150	4998202	4998570	ribonuclease P protein component	rpmH // rnpA // yidD // yidC // mnmE	EQU24_RS22150	rpmH // rnpA // yidD // yidC // mnmE		
yidD	EQU24_RS22145	4997999	4998220	membrane protein insertion efficiency factor YidD	rpmH // rnpA // yidD // yidC // mnmE	EQU24_RS22145	rpmH // rnpA // yidD // yidC // mnmE		
yidC	EQU24_RS22140	4996296	4997993	membrane protein insertase YidC	rpmH // rnpA // yidD // yidC // mnmE	EQU24_RS22140	rpmH // rnpA // yidD // yidC // mnmE		
mnmE	EQU24_RS22135	4994942	4996288	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	rpmH // rnpA // yidD // yidC // mnmE	EQU24_RS22135	rpmH // rnpA // yidD // yidC // mnmE		
EQU24_RS22130	EQU24_RS22130	4994559	4994648	tRNA-Ser	EQU24_RS22130	EQU24_RS22130	EQU24_RS22130		
EQU24_RS22125	EQU24_RS22125	4994219	4994407	DUF4102 domain-containing protein	EQU24_RS22125	EQU24_RS22125	EQU24_RS22125		
EQU24_RS22120	EQU24_RS22120	4993852	4994142	hypothetical protein	EQU24_RS22120	EQU24_RS22120	EQU24_RS22120		
EQU24_RS22115	EQU24_RS22115	4993329	4993658	type II toxin-antitoxin system HicA family toxin	EQU24_RS22115	EQU24_RS22115	EQU24_RS22115		
EQU24_RS22110	EQU24_RS22110	4992035	4992421	hypothetical protein	EQU24_RS22110	EQU24_RS22110	EQU24_RS22110		
EQU24_RS22105	EQU24_RS22105	4991635	4991829	CPXCG motif-containing cysteine-rich protein	EQU24_RS22105 // EQU24_RS22100 // EQU24_RS22095	EQU24_RS22105	EQU24_RS22105 // EQU24_RS22100 // EQU24_RS22095		
EQU24_RS22100	EQU24_RS22100	4990805	4991635	SDR family oxidoreductase	EQU24_RS22105 // EQU24_RS22100 // EQU24_RS22095	EQU24_RS22100	EQU24_RS22105 // EQU24_RS22100 // EQU24_RS22095		
EQU24_RS22095	EQU24_RS22095	4990227	4990799	hypothetical protein	EQU24_RS22105 // EQU24_RS22100 // EQU24_RS22095	EQU24_RS22095	EQU24_RS22105 // EQU24_RS22100 // EQU24_RS22095		
EQU24_RS22090	EQU24_RS22090	4988782	4990122	POT family MFS transporter	EQU24_RS22090	EQU24_RS22090	EQU24_RS22090		
EQU24_RS22085	EQU24_RS22085	4987321	4988301	MoxR family ATPase	EQU24_RS22085 // EQU24_RS22080 // EQU24_RS22075 // EQU24_RS22070 // EQU24_RS22065	EQU24_RS22085	EQU24_RS22085 // EQU24_RS22080 // EQU24_RS22075 // EQU24_RS22070 // EQU24_RS22065		
